"","x"
"1",16
"2",16
"3",16.8
"4",16.8
"5",17.8
"6",16.8
"7",16.8
"8",16.8
"9",16.8
"10",16.8
"11",16.8
"12",16.8
"13",16.8
"14",16.8
"15",16.8
"16",16.8
"17",19.7
"18",19.7
"19",19.7
"20",19.7
"21",27.4
"22",16.8
"23",27.4
"24",19.7
"25",19.7
"26",27.5
"27",17.7
"28",17.8
"29",27.5
"30",17.7
"31",17.7
"32",19.7
"33",20.2
"34",20.5
"35",20.8
"36",20.8
"37",20.8
"38",21.6
"39",16.7
"40",13.9
"41",13.9
"42",15.4
"43",15.2
"44",17.5
"45",14.9
"46",13.8
"47",14.6
"48",27.8
"49",14.9
"50",14.9
"51",15.2
"52",15.2
"53",15.7
"54",16
"55",27.4
"56",15.2
"57",15.2
"58",17.8
"59",18
"60",17.5
"61",27.4
"62",16.7
"63",15.8
"64",15.8
"65",15.1
"66",27.4
"67",27.4
"68",27.4
"69",27.3
"70",27.3
"71",27.3
"72",27.3
"73",27.4
"74",27.1
"75",25.8
"76",25.1
"77",25.1
"78",0.8
"79",1
"80",1.8
"81",0.8
"82",0.7
"83",5.3
"84",6.5
"85",0.7
"86",6.1
"87",1
"88",25.3
"89",-0.4
"90",-0.2
"91",12.8
"92",12.3
"93",1.4
"94",1.8
"95",1.1
"96",1.7
"97",1
"98",2.3
"99",1.7
"100",1.7
"101",1.7
"102",3.3
"103",1.5
"104",1.5
"105",2
"106",1.7
"107",3.4
"108",3.3
"109",3.3
"110",3.3
"111",3.6
"112",1.7
"113",1.7
"114",2.4
"115",2.9
"116",13.3
"117",13.4
"118",13.8
"119",14.4
"120",14.8
"121",14.2
"122",14.1
"123",8.9
"124",8.4
"125",7.8
"126",7.8
"127",7.7
"128",6.6
"129",5.9
"130",5
"131",5
"132",2.9
"133",0.5
"134",1.8
"135",0.7
"136",2.1
"137",2
"138",3.8
"139",3.7
"140",4.8
"141",4.8
"142",5.7
"143",6.2
"144",6.4
"145",5.4
"146",5.4
"147",4.7
"148",8.6
"149",2.9
"150",2.1
"151",2.1
"152",0.2
"153",0.7
"154",5.8
"155",5.5
"156",7.3
"157",7.3
"158",8.4
"159",26.6
"160",12.2
"161",12.4
"162",29.3
"163",29.3
"164",2.4
"165",0.7
"166",-0.1
"167",6.3
"168",15.7
"169",17.9
"170",12.8
"171",17.9
"172",18
"173",11.3
"174",17.9
"175",6.3
"176",9.1
"177",9.1
"178",9.1
"179",8
"180",10.6
"181",28.1
"182",28.1
"183",28.1
"184",28.1
"185",28.3
"186",28.7
"187",28.7
"188",28.7
"189",28.2
"190",27.6
"191",27.9
"192",28
"193",18.9
"194",18.9
"195",18.9
"196",18.9
"197",18.9
"198",18.9
"199",18.9
"200",18.9
"201",18.9
"202",18.9
"203",18.9
"204",18.9
"205",18.9
"206",18.9
"207",18.9
"208",18.9
"209",18.9
